"id","title","message","branch_ids","target_page","event_id","sent_by","recipients_count","successful_sends","created_at"
"1","adfasd","asdasd",,,,"2","5","0","2026-01-31T12:09:13.126Z"
"2","test","working",,,,"2","5","0","2026-01-31T12:11:02.211Z"
"3","Weekend Brunch","gfhsfgh",,,"67b5816d-6aae-430a-adf0-7339f3f17e1f","2","5","0","2026-01-31T19:54:13.504Z"
"4","test","asdfasdfasdf",,,,"2","5","0","2026-02-02T13:25:56.059Z"
"5","Weekend Brunch","A refined brunch where quality comes before quantity. House-baked breads, fresh mezze, warm breakfast dishes, and a signature plate served fresh from the kitchen. Calm, curated, and crafted with care.",,"/events/detail?id=67b5816d-6aae-430a-adf0-7339f3f17e1f","67b5816d-6aae-430a-adf0-7339f3f17e1f","2","5","0","2026-02-02T14:13:49.040Z"
"6","Weekend Brunch","A refined brunch where quality comes before quantity. House-baked breads, fresh mezze, warm breakfast dishes, and a signature plate served fresh from the kitchen. Calm, curated, and crafted with care.",,,"67b5816d-6aae-430a-adf0-7339f3f17e1f","2","5","0","2026-02-02T14:30:31.511Z"
"7","Weekend Brunch","zdfasdfs",,,"67b5816d-6aae-430a-adf0-7339f3f17e1f","2","5","0","2026-02-02T14:32:20.751Z"
"8","Weekend Brunch","A refined brunch where quality comes before quantity. House-baked breads, fresh mezze, warm breakfast dishes, and a signature plate served fresh from the kitchen. Calm, curated, and crafted with care.",,,"67b5816d-6aae-430a-adf0-7339f3f17e1f","2","5","0","2026-02-02T16:42:05.293Z"
"9","Test Notifcation ","test notification ",,,,"2","5","0","2026-02-02T16:58:20.735Z"
"10","test not","asdfasdf",,,,"2","5","0","2026-02-02T17:07:25.956Z"
"11","sdfasf","asdfasfasf",,,,"2","5","0","2026-02-02T17:13:52.204Z"
"12","sdfgsfdg","dfgsdg",,,,"2","5","0","2026-02-02T17:17:24.495Z"
"13","fghdfgh","dfghdfghfgh",,,,"2","5","0","2026-02-02T17:20:41.531Z"
"14","sfdgsdfg","sdfgsdgf",,,,"2","5","0","2026-02-02T17:25:35.259Z"
"15","sdfasdf","asdfasdf",,,,"2","5","0","2026-02-02T17:49:36.021Z"
"16","sdfgasfdg","asdfgadfg",,,,"2","5","0","2026-02-02T17:56:52.406Z"
"17","sdfgsdg","sdfgsdfg",,,,"2","5","1","2026-02-02T18:04:38.690Z"
"18","hello","sadasd",,,,"2","5","1","2026-02-04T07:07:31.676Z"
